,titles,authors,stars,reviews,cover,prices,publishers,genres,year
0,How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers,Lincoln D. Stein,1.0,1.0,Paperback,44.59,"Addison-Wesley Professional (August 9, 1995)", Textbooks ,1995
1,A Mathematician Reads The Newspaper,John Allen Paulos,4.1,45.0,Hardcover,19.58,"Basic Books; New edition edition (April 6, 1995)", Literature & Fiction ,1995
2,Brightness Reef  (Bantam Spectra Book),David Brin,3.9,100.0,Hardcover,14.99,"Spectra; First Edition edition (September 1, 1995)", Science Fiction & Fantasy ,1995
3,Silicon Snake Oil: Second Thoughts on the Information Highway,Clifford Stoll,3.1,60.0,Hardcover,12.5,"Doubleday; 1st edition (March 1, 1995)", Science & Math ,1995
4,The Dark and Deadly Pool (Laurel-Leaf Suspense Fiction),Joan Lowery Nixon,3.8,33.0,Mass Market Paperback,0.1,"Laurel Leaf; Reprint edition (May 1, 1989)", Teens ,1995
5,Being Digital,Nicholas Negroponte,4.1,79.0,Hardcover,0.01,"Knopf; 1st edition (January 31, 1995)", Engineering & Transportation ,1995
6,Learning the UNIX Operating System (Nutshell Handbooks),Jerry Peek,4.0,1.0,Paperback,12.93,"O'Reilly Media; 1 edition (October 11, 1993)", Computers & Technology ,1995
7,Emblems of Mind: The Inner Life of Music and Mathematics,Edward Rothstein,4.4,8.0,Hardcover,17.95,"Crown; First Edition edition (May 2, 1995)", Arts & Photography ,1995
8,Fluid Concepts And Creative Analogies: Computer Models Of The Fundamental Mechanisms Of Thought,Douglas R. Hofstadter,4.5,22.0,Hardcover,29.95,"Basic Books (February 8, 1995)", Textbooks ,1995
9,The Bold Vegetarian: 150 Inspired International Recipes,B. Kirchner,4.1,5.0,Paperback,0.1,"Morrow Cookbooks; 1 edition (March 1, 1995)"," Cookbooks, Food & Wine ",1995
10,Copy Workshop Workbook: Second Edition,Bruce Bendinger,4.6,22.0,Paperback,2.29,"Copy Workshop (August 4, 1993)", Textbooks ,1995
11,The Road Ahead (Book & CD),Bill Gates,3.7,97.0,Hardcover,3.99,Viking Pr; First Edition edition (1995), Computers & Technology ,1995
12,The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,4.5,177.0,Paperback,9.84,"Vintage; Reprint edition (May 30, 1995)", Science & Math ,1995
13,"The Diamond Age, or, A Young Lady's Illustrated Primer",Neal Stephenson,4.2,605.0,Hardcover,36.0,Spectra (1995), Science Fiction & Fantasy ,1995
14,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,4.4,463.0,Paperback,1.94,"Vintage (May 14, 1989)", Politics & Social Sciences ,1995
15,"Sundiver (The Uplift Saga, Book 1)",David Brin,3.6,167.0,Mass Market Paperback,1.02,"Spectra (January 1, 1985)", Science & Math ,1995
16,An Anthropologist On Mars: Seven Paradoxical Tales,Oliver Sacks,4.6,150.0,Hardcover,19.76,"Knopf; 1st edition (February 7, 1995)", Science & Math ,1995
17,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.4,224.0,Paperback,3.94,Perennial; Reprint edition (February 1995), Textbooks ,1995
18,It's Obvious You Won't Survive By Your Wits Alone,Scott Adams,3.6,11.0,Paperback,8.66,"Wiley; 2nd edition (October 18, 1996)", Science & Math ,1995
19,"Applied Cryptography: Protocols, Algorithms, and Source Code in C",Bruce Schneier,4.4,124.0,Paperback,42.55,"Spectra; Reissue edition (August 1, 1995)", Science Fiction & Fantasy ,1995
20,"The Uplift War (The Uplift Saga, Book 3)",David Brin,4.4,111.0,Mass Market Paperback,7.99,"Knopf (September 17, 1995)", Literature & Fiction ,1995
